"","exp_phase","age_group","condition","language","random_id","trial_order","noun","marker1","marker2","correct_choice","choice","is_correct"
"303","2afc","adult","5R4E","B","LeGu73uC",5,"zup","tay","ka","ka","tay",0
"304","2afc","adult","5R4E","B","LeGu73uC",6,"flairb","tay","po","tay","tay",1
"305","2afc","adult","5R4E","B","LeGu73uC",7,"tomber","ka","lee","ka","ka",1
"306","2afc","adult","5R4E","B","LeGu73uC",8,"tomber","ka","po","ka","ka",1
"307","2afc","adult","5R4E","B","LeGu73uC",9,"glim","tay","lee","lee","tay",0
"308","2afc","adult","5R4E","B","LeGu73uC",10,"glim","bae","lee","lee","lee",1
"309","2afc","adult","5R4E","B","LeGu73uC",11,"lepal","ka","tay","ka","tay",0
"310","2afc","adult","5R4E","B","LeGu73uC",12,"spad","ka","bae","bae","bae",1
"311","2afc","adult","5R4E","B","LeGu73uC",13,"spad","bae","tay","bae","bae",1
"312","2afc","adult","5R4E","B","LeGu73uC",14,"daygin","po","ka","ka","po",0
"313","2afc","adult","5R4E","B","LeGu73uC",15,"klidam","lee","ka","ka","lee",0
"314","2afc","adult","5R4E","B","LeGu73uC",16,"lepal","po","ka","ka","po",0
"315","2afc","adult","5R4E","B","LeGu73uC",17,"lepal","bae","ka","ka","ka",1
"316","2afc","adult","5R4E","B","LeGu73uC",18,"glim","lee","ka","lee","lee",1
"317","2afc","adult","5R4E","B","LeGu73uC",19,"klidam","ka","bae","ka","ka",1
"318","2afc","adult","5R4E","B","LeGu73uC",20,"mawg","po","ka","po","po",1
"319","2afc","adult","5R4E","B","LeGu73uC",21,"mawg","po","lee","po","po",1
"320","2afc","adult","5R4E","B","LeGu73uC",22,"zup","ka","bae","ka","ka",1
"321","2afc","adult","5R4E","B","LeGu73uC",23,"zup","ka","po","ka","ka",1
"322","2afc","adult","5R4E","B","LeGu73uC",24,"flairb","lee","tay","tay","tay",1
"323","2afc","adult","5R4E","B","LeGu73uC",25,"tomber","tay","ka","ka","ka",1
"324","2afc","adult","5R4E","B","LeGu73uC",26,"flairb","ka","tay","tay","tay",1
"325","2afc","adult","5R4E","B","OJzY9ftA",0,"flairb","lee","tay","tay","lee",0
"326","2afc","adult","5R4E","B","OJzY9ftA",1,"tomber","ka","lee","ka","lee",0
"327","2afc","adult","5R4E","B","OJzY9ftA",2,"spad","bae","tay","bae","bae",1
"328","2afc","adult","5R4E","B","OJzY9ftA",3,"glim","lee","ka","lee","ka",0
"329","2afc","adult","5R4E","B","OJzY9ftA",4,"daygin","po","ka","ka","po",0
"330","2afc","adult","5R4E","B","OJzY9ftA",5,"klidam","po","ka","ka","ka",1
"331","2afc","adult","5R4E","B","OJzY9ftA",6,"daygin","ka","bae","ka","ka",1
"332","2afc","adult","5R4E","B","OJzY9ftA",7,"zup","tay","ka","ka","ka",1
"333","2afc","adult","5R4E","B","OJzY9ftA",8,"spad","ka","bae","bae","ka",0
"334","2afc","adult","5R4E","B","OJzY9ftA",9,"lepal","ka","tay","ka","ka",1
"335","2afc","adult","5R4E","B","OJzY9ftA",10,"glim","bae","lee","lee","lee",1
"336","2afc","adult","5R4E","B","OJzY9ftA",11,"lepal","po","ka","ka","po",0
"337","2afc","adult","5R4E","B","OJzY9ftA",12,"mawg","po","ka","po","ka",0
"338","2afc","adult","5R4E","B","OJzY9ftA",13,"klidam","ka","bae","ka","bae",0
"339","2afc","adult","5R4E","B","OJzY9ftA",14,"glim","tay","lee","lee","tay",0
"340","2afc","adult","5R4E","B","OJzY9ftA",15,"spad","bae","lee","bae","bae",1
"341","2afc","adult","5R4E","B","OJzY9ftA",16,"tomber","tay","ka","ka","ka",1
"342","2afc","adult","5R4E","B","OJzY9ftA",17,"klidam","lee","ka","ka","lee",0
"343","2afc","adult","5R4E","B","OJzY9ftA",18,"tomber","ka","po","ka","ka",1
"344","2afc","adult","5R4E","B","OJzY9ftA",19,"zup","ka","bae","ka","bae",0
"345","2afc","adult","5R4E","B","OJzY9ftA",20,"flairb","tay","po","tay","tay",1
"346","2afc","adult","5R4E","B","OJzY9ftA",21,"flairb","ka","tay","tay","ka",0
"347","2afc","adult","5R4E","B","OJzY9ftA",22,"mawg","tay","po","po","tay",0
"348","2afc","adult","5R4E","B","OJzY9ftA",23,"mawg","po","lee","po","po",1
"349","2afc","adult","5R4E","B","OJzY9ftA",24,"zup","ka","po","ka","po",0
"350","2afc","adult","5R4E","B","OJzY9ftA",25,"lepal","bae","ka","ka","ka",1
"351","2afc","adult","5R4E","B","OJzY9ftA",26,"daygin","lee","ka","ka","ka",1
"352","2afc","adult","5R4E","B","P3FaYzxY",0,"daygin","po","ka","ka","ka",1
"353","2afc","adult","5R4E","B","P3FaYzxY",1,"zup","tay","ka","ka","ka",1
"354","2afc","adult","5R4E","B","P3FaYzxY",2,"glim","tay","lee","lee","lee",1
"355","2afc","adult","5R4E","B","P3FaYzxY",3,"klidam","ka","bae","ka","ka",1
"356","2afc","adult","5R4E","B","P3FaYzxY",4,"mawg","tay","po","po","po",1
"357","2afc","adult","5R4E","B","P3FaYzxY",5,"flairb","lee","tay","tay","lee",0
"358","2afc","adult","5R4E","B","P3FaYzxY",6,"glim","lee","ka","lee","lee",1
"359","2afc","adult","5R4E","B","P3FaYzxY",7,"tomber","ka","po","ka","ka",1
"360","2afc","adult","5R4E","B","P3FaYzxY",8,"spad","bae","tay","bae","bae",1
"361","2afc","adult","5R4E","B","P3FaYzxY",9,"spad","bae","lee","bae","bae",1
"362","2afc","adult","5R4E","B","P3FaYzxY",10,"klidam","po","ka","ka","po",0
"363","2afc","adult","5R4E","B","P3FaYzxY",11,"daygin","lee","ka","ka","ka",1
"364","2afc","adult","5R4E","B","P3FaYzxY",12,"tomber","ka","lee","ka","ka",1
"365","2afc","adult","5R4E","B","P3FaYzxY",13,"spad","ka","bae","bae","bae",1
"366","2afc","adult","5R4E","B","P3FaYzxY",14,"lepal","bae","ka","ka","ka",1
"367","2afc","adult","5R4E","B","P3FaYzxY",15,"flairb","ka","tay","tay","ka",0
"368","2afc","adult","5R4E","B","P3FaYzxY",16,"mawg","po","ka","po","po",1
"369","2afc","adult","5R4E","B","P3FaYzxY",17,"flairb","tay","po","tay","tay",1
"370","2afc","adult","5R4E","B","P3FaYzxY",18,"lepal","ka","tay","ka","ka",1
"371","2afc","adult","5R4E","B","P3FaYzxY",19,"zup","ka","bae","ka","ka",1
"372","2afc","adult","5R4E","B","P3FaYzxY",20,"tomber","tay","ka","ka","ka",1
"373","2afc","adult","5R4E","B","P3FaYzxY",21,"mawg","po","lee","po","po",1
"374","2afc","adult","5R4E","B","P3FaYzxY",22,"daygin","ka","bae","ka","ka",1
"375","2afc","adult","5R4E","B","P3FaYzxY",23,"glim","bae","lee","lee","lee",1
"376","2afc","adult","5R4E","B","P3FaYzxY",24,"klidam","lee","ka","ka","ka",1
"377","2afc","adult","5R4E","B","P3FaYzxY",25,"zup","ka","po","ka","ka",1
"378","2afc","adult","5R4E","B","P3FaYzxY",26,"lepal","po","ka","ka","ka",1
"379","2afc","adult","5R4E","B","uonzFJ8p",0,"tomber","ka","po","ka","ka",1
"380","2afc","adult","5R4E","B","uonzFJ8p",1,"lepal","ka","tay","ka","ka",1
"381","2afc","adult","5R4E","B","uonzFJ8p",2,"glim","tay","lee","lee","lee",1
"382","2afc","adult","5R4E","B","uonzFJ8p",3,"daygin","ka","bae","ka","ka",1
"383","2afc","adult","5R4E","B","uonzFJ8p",4,"spad","bae","tay","bae","bae",1
"384","2afc","adult","5R4E","B","uonzFJ8p",5,"daygin","lee","ka","ka","ka",1
"385","2afc","adult","5R4E","B","uonzFJ8p",6,"lepal","bae","ka","ka","ka",1
"386","2afc","adult","5R4E","B","uonzFJ8p",7,"klidam","po","ka","ka","ka",1
"387","2afc","adult","5R4E","B","uonzFJ8p",8,"flairb","tay","po","tay","tay",1
"388","2afc","adult","5R4E","B","uonzFJ8p",9,"spad","bae","lee","bae","bae",1
"389","2afc","adult","5R4E","B","uonzFJ8p",10,"klidam","ka","bae","ka","ka",1
"390","2afc","adult","5R4E","B","uonzFJ8p",11,"glim","lee","ka","lee","lee",1
"391","2afc","adult","5R4E","B","uonzFJ8p",12,"tomber","tay","ka","ka","ka",1
"392","2afc","adult","5R4E","B","uonzFJ8p",13,"zup","ka","bae","ka","ka",1
"393","2afc","adult","5R4E","B","uonzFJ8p",14,"lepal","po","ka","ka","ka",1
"394","2afc","adult","5R4E","B","uonzFJ8p",15,"zup","ka","po","ka","ka",1
"395","2afc","adult","5R4E","B","uonzFJ8p",16,"tomber","ka","lee","ka","ka",1
"396","2afc","adult","5R4E","B","uonzFJ8p",17,"mawg","po","lee","po","po",1
"397","2afc","adult","5R4E","B","uonzFJ8p",18,"flairb","lee","tay","tay","tay",1
"398","2afc","adult","5R4E","B","uonzFJ8p",19,"glim","bae","lee","lee","lee",1
"399","2afc","adult","5R4E","B","uonzFJ8p",20,"zup","tay","ka","ka","ka",1
"400","2afc","adult","5R4E","B","uonzFJ8p",21,"klidam","lee","ka","ka","ka",1
"401","2afc","adult","5R4E","B","uonzFJ8p",22,"mawg","tay","po","po","po",1
"402","2afc","adult","5R4E","B","uonzFJ8p",23,"daygin","po","ka","ka","ka",1
"403","2afc","adult","5R4E","B","uonzFJ8p",24,"flairb","ka","tay","tay","tay",1
"404","2afc","adult","5R4E","B","uonzFJ8p",25,"mawg","po","ka","po","po",1
"405","2afc","adult","5R4E","B","uonzFJ8p",26,"spad","ka","bae","bae","bae",1
"406","2afc","child","3R6E","A","C4FIBCAn",0,"spad","ka","bae","ka","ka",1
"407","2afc","child","3R6E","A","C4FIBCAn",1,"lepal","muy","woo","woo","woo",1
"408","2afc","child","3R6E","A","C4FIBCAn",2,"glim","woo","ka","ka","ka",1
"409","2afc","child","3R6E","A","C4FIBCAn",3,"spad","lee","ka","ka","ka",1
"410","2afc","child","3R6E","A","C4FIBCAn",4,"zup","lee","muy","lee","muy",0
"411","2afc","child","3R6E","A","C4FIBCAn",5,"tomber","po","lee","po","po",1
"412","2afc","child","3R6E","A","C4FIBCAn",6,"daygin","woo","bae","bae","bae",1
"413","2afc","child","3R6E","A","C4FIBCAn",7,"flairb","po","tay","tay","po",0
"414","2afc","child","3R6E","A","C4FIBCAn",8,"glim","ka","bae","ka","ka",1
"415","2afc","child","3R6E","A","C4FIBCAn",9,"tomber","tay","po","po","tay",0
"416","2afc","child","3R6E","A","C4FIBCAn",10,"zup","lee","ka","lee","lee",1
"417","2afc","child","3R6E","A","C4FIBCAn",11,"mawg","ka","woo","ka","ka",1
"418","2afc","child","3R6E","A","C4FIBCAn",12,"mawg","ka","po","ka","ka",1
"419","2afc","child","3R6E","A","C4FIBCAn",13,"spad","ka","tay","ka","ka",1
"420","2afc","child","3R6E","A","C4FIBCAn",14,"klidam","lee","muy","muy","muy",1
"421","2afc","child","3R6E","A","C4FIBCAn",15,"klidam","muy","ka","muy","muy",1
"422","2afc","child","3R6E","A","C4FIBCAn",16,"tomber","ka","po","po","po",1
"423","2afc","child","3R6E","A","C4FIBCAn",17,"zup","tay","lee","lee","lee",1
"424","2afc","child","3R6E","A","C4FIBCAn",18,"daygin","bae","ka","bae","bae",1
"425","2afc","child","3R6E","A","C4FIBCAn",19,"lepal","woo","tay","woo","woo",1
"426","2afc","child","3R6E","A","C4FIBCAn",20,"flairb","bae","tay","tay","tay",1
"427","2afc","child","3R6E","A","C4FIBCAn",21,"mawg","muy","ka","ka","ka",1
"428","2afc","child","3R6E","A","C4FIBCAn",22,"klidam","woo","muy","muy","muy",1
"429","2afc","child","3R6E","A","C4FIBCAn",23,"daygin","po","bae","bae","po",0
"430","2afc","child","3R6E","A","C4FIBCAn",24,"glim","ka","po","ka","ka",1
"431","2afc","child","3R6E","A","C4FIBCAn",25,"flairb","tay","lee","tay","lee",0
"432","2afc","child","3R6E","A","C4FIBCAn",26,"lepal","bae","woo","woo","bae",0
"433","2afc","child","3R6E","A","c6xkBiUK",0,"lepal","woo","tay","woo","tay",0
"434","2afc","child","3R6E","A","c6xkBiUK",1,"mawg","ka","po","ka","ka",1
"435","2afc","child","3R6E","A","c6xkBiUK",2,"tomber","po","lee","po","lee",0
"436","2afc","child","3R6E","A","c6xkBiUK",3,"tomber","tay","po","po","po",1
"437","2afc","child","3R6E","A","c6xkBiUK",4,"tomber","ka","po","po","ka",0
"438","2afc","child","3R6E","A","c6xkBiUK",5,"zup","tay","lee","lee","tay",0
"439","2afc","child","3R6E","A","c6xkBiUK",6,"daygin","po","bae","bae","bae",1
"440","2afc","child","3R6E","A","c6xkBiUK",7,"daygin","bae","ka","bae","bae",1
"441","2afc","child","3R6E","A","c6xkBiUK",8,"lepal","muy","woo","woo","woo",1
"442","2afc","child","3R6E","A","c6xkBiUK",9,"klidam","muy","ka","muy","muy",1
"443","2afc","child","3R6E","A","c6xkBiUK",10,"spad","ka","tay","ka","tay",0
"444","2afc","child","3R6E","A","c6xkBiUK",11,"flairb","bae","tay","tay","tay",1
"445","2afc","child","3R6E","A","c6xkBiUK",12,"spad","ka","bae","ka","bae",0
"446","2afc","child","3R6E","A","c6xkBiUK",13,"klidam","lee","muy","muy","muy",1
"447","2afc","child","3R6E","A","c6xkBiUK",14,"daygin","woo","bae","bae","woo",0
